,timestamp,value
0,2022-10-01,273451
1,2022-09-01,290113
2,2022-08-01,279323
3,2022-07-01,249456
4,2022-06-01,294470
5,2022-05-01,263971
6,2022-04-01,260366
7,2022-03-01,294088
8,2022-02-01,250105
9,2022-01-01,242492
10,2021-12-01,267477
11,2021-11-01,244327
12,2021-10-01,247086
13,2021-09-01,260121
14,2021-08-01,250971
15,2021-07-01,228559
16,2021-06-01,263226
17,2021-05-01,235324
18,2021-04-01,236534
19,2021-03-01,267961
20,2021-02-01,226851
21,2021-01-01,215529
22,2020-12-01,240298
23,2020-11-01,217877
24,2020-10-01,231202
25,2020-09-01,236069
26,2020-08-01,219699
27,2020-07-01,204830
28,2020-06-01,213266
29,2020-05-01,174415
30,2020-04-01,157005
31,2020-03-01,220073
32,2020-02-01,225748
33,2020-01-01,211354
34,2019-12-01,220911
35,2019-11-01,204062
36,2019-10-01,226524
37,2019-09-01,229365
38,2019-08-01,228388
39,2019-07-01,208890
40,2019-06-01,231478
41,2019-05-01,220049
42,2019-04-01,220629
43,2019-03-01,254141
44,2019-02-01,210489
45,2019-01-01,209313
46,2018-12-01,243801
47,2018-11-01,228544
48,2018-10-01,241592
49,2018-09-01,250454
50,2018-08-01,251050
51,2018-07-01,215595
52,2018-06-01,261381
53,2018-05-01,241465
54,2018-04-01,232661
55,2018-03-01,268069
56,2018-02-01,220186
57,2018-01-01,204291
58,2017-12-01,245917
59,2017-11-01,227511
60,2017-10-01,228920
61,2017-09-01,238114
62,2017-08-01,226796
63,2017-07-01,198954
64,2017-06-01,260463
65,2017-05-01,221661
66,2017-04-01,211822
67,2017-03-01,250524
68,2017-02-01,207598
69,2017-01-01,192661
70,2016-12-01,229243
71,2016-11-01,213364
72,2016-10-01,231422
73,2016-09-01,230956
74,2016-08-01,221537
75,2016-07-01,197867
76,2016-06-01,230820
77,2016-05-01,217981
78,2016-04-01,221215
79,2016-03-01,243551
80,2016-02-01,211114
81,2016-01-01,199424
82,2015-12-01,230959
83,2015-11-01,216692
84,2015-10-01,228138
85,2015-09-01,231339
86,2015-08-01,218267
87,2015-07-01,216803
88,2015-06-01,252759
89,2015-05-01,211139
90,2015-04-01,220091
91,2015-03-01,249239
92,2015-02-01,206166
93,2015-01-01,200582
94,2014-12-01,240457
95,2014-11-01,216401
96,2014-10-01,238710
97,2014-09-01,249698
98,2014-08-01,231195
99,2014-07-01,286876
100,2014-06-01,257228
101,2014-05-01,231723
102,2014-04-01,231365
103,2014-03-01,251763
104,2014-02-01,221433
105,2014-01-01,203981
106,2013-12-01,250119
107,2013-11-01,233300
108,2013-10-01,236784
109,2013-09-01,248206
110,2013-08-01,224074
111,2013-07-01,208090
112,2013-06-01,260225
113,2013-05-01,238678
114,2013-04-01,221353
115,2013-03-01,232999
116,2013-02-01,225639
117,2013-01-01,204169
118,2012-12-01,239368
119,2012-11-01,209712
120,2012-10-01,222736
121,2012-09-01,223423
122,2012-08-01,204001
123,2012-07-01,206771
124,2012-06-01,233259
125,2012-05-01,220785
126,2012-04-01,210894
127,2012-03-01,240680
128,2012-02-01,224922
129,2012-01-01,204013
130,2011-12-01,237529
131,2011-11-01,206403
132,2011-10-01,206574
133,2011-09-01,221336
134,2011-08-01,216719
135,2011-07-01,189215
136,2011-06-01,216548
137,2011-05-01,205025
138,2011-04-01,194922
139,2011-03-01,233078
140,2011-02-01,187466
141,2011-01-01,184037
142,2010-12-01,209011
143,2010-11-01,186603
144,2010-10-01,192327
145,2010-09-01,213131
146,2010-08-01,191888
147,2010-07-01,174685
148,2010-06-01,200080
149,2010-05-01,183535
150,2010-04-01,181528
151,2010-03-01,199993
152,2010-02-01,169065
153,2010-01-01,163488
154,2009-12-01,174485
155,2009-11-01,151230
156,2009-10-01,163196
157,2009-09-01,168746
158,2009-08-01,155455
159,2009-07-01,145376
160,2009-06-01,157122
161,2009-05-01,145714
162,2009-04-01,139893
163,2009-03-01,162107
164,2009-02-01,137245
165,2009-01-01,138218
166,2008-12-01,191734
167,2008-11-01,169856
168,2008-10-01,197291
169,2008-09-01,224233
170,2008-08-01,214872
171,2008-07-01,205540
172,2008-06-01,242479
173,2008-05-01,227995
174,2008-04-01,225075
175,2008-03-01,250906
176,2008-02-01,229870
177,2008-01-01,219946
178,2007-12-01,254048
179,2007-11-01,224134
180,2007-10-01,235158
181,2007-09-01,232386
182,2007-08-01,241388
183,2007-07-01,211263
184,2007-06-01,243703
185,2007-05-01,229326
186,2007-04-01,225558
187,2007-03-01,252090
188,2007-02-01,211359
189,2007-01-01,204185
190,2006-12-01,236933
191,2006-11-01,218853
192,2006-10-01,219885
193,2006-09-01,243185
194,2006-08-01,215695
195,2006-07-01,186090
196,2006-06-01,237564
197,2006-05-01,217869
198,2006-04-01,206157
199,2006-03-01,252659
200,2006-02-01,209478
201,2006-01-01,191920
202,2005-12-01,229512
203,2005-11-01,215562
204,2005-10-01,211650
205,2005-09-01,214582
206,2005-08-01,209010
207,2005-07-01,169437
208,2005-06-01,224203
209,2005-05-01,205691
210,2005-04-01,190899
211,2005-03-01,209708
212,2005-02-01,188951
213,2005-01-01,177594
214,2004-12-01,201172
215,2004-11-01,188131
216,2004-10-01,186918
217,2004-09-01,197167
218,2004-08-01,184662
219,2004-07-01,163925
220,2004-06-01,197458
221,2004-05-01,181865
222,2004-04-01,183752
223,2004-03-01,214611
224,2004-02-01,180111
225,2004-01-01,164926
226,2003-12-01,187904
227,2003-11-01,173368
228,2003-10-01,190591
229,2003-09-01,187270
230,2003-08-01,170612
231,2003-07-01,150336
232,2003-06-01,183990
233,2003-05-01,172361
234,2003-04-01,168168
235,2003-03-01,188854
236,2003-02-01,169363
237,2003-01-01,160196
238,2002-12-01,167098
239,2002-11-01,164310
240,2002-10-01,174042
241,2002-09-01,174195
242,2002-08-01,176987
243,2002-07-01,151584
244,2002-06-01,173578
245,2002-05-01,176314
246,2002-04-01,170163
247,2002-03-01,183541
248,2002-02-01,167694
249,2002-01-01,152537
250,2001-12-01,170130
251,2001-11-01,160265
252,2001-10-01,175302
253,2001-09-01,169765
254,2001-08-01,171491
255,2001-07-01,144702
256,2001-06-01,188450
257,2001-05-01,180620
258,2001-04-01,166962
259,2001-03-01,201321
260,2001-02-01,176646
261,2001-01-01,167108
262,2000-12-01,192978
263,2000-11-01,185475
264,2000-10-01,187704
265,2000-09-01,210685
266,2000-08-01,187688
267,2000-07-01,159903
268,2000-06-01,237143
269,2000-05-01,190188
270,2000-04-01,186872
271,2000-03-01,212974
272,2000-02-01,189153
273,2000-01-01,185813
274,1999-12-01,202677
275,1999-11-01,183986
276,1999-10-01,193889
277,1999-09-01,202427
278,1999-08-01,186590
279,1999-07-01,159656
280,1999-06-01,198372
281,1999-05-01,182326
282,1999-04-01,180224
283,1999-03-01,204755
284,1999-02-01,185255
285,1999-01-01,171934
286,1998-12-01,185472
287,1998-11-01,177925
288,1998-10-01,181357
289,1998-09-01,193961
290,1998-08-01,173662
291,1998-07-01,145785
292,1998-06-01,187991
293,1998-05-01,175154
294,1998-04-01,178239
295,1998-03-01,193649
296,1998-02-01,182332
297,1998-01-01,164391
298,1997-12-01,179906
299,1997-11-01,185230
300,1997-10-01,183393
301,1997-09-01,190959
302,1997-08-01,170465
303,1997-07-01,150782
304,1997-06-01,187205
305,1997-05-01,165694
306,1997-04-01,170687
307,1997-03-01,180530
308,1997-02-01,172311
309,1997-01-01,155358
310,1996-12-01,166228
311,1996-11-01,168650
312,1996-10-01,169459
313,1996-09-01,174797
314,1996-08-01,153637
315,1996-07-01,138374
316,1996-06-01,172897
317,1996-05-01,163769
318,1996-04-01,155093
319,1996-03-01,176264
320,1996-02-01,159185
321,1996-01-01,150440
322,1995-12-01,163769
323,1995-11-01,156881
324,1995-10-01,158469
325,1995-09-01,168324
326,1995-08-01,151465
327,1995-07-01,123259
328,1995-06-01,161688
329,1995-05-01,151770
330,1995-04-01,146225
331,1995-03-01,167745
332,1995-02-01,156606
333,1995-01-01,143440
334,1994-12-01,154895
335,1994-11-01,150202
336,1994-10-01,151572
337,1994-09-01,153625
338,1994-08-01,142852
339,1994-07-01,119501
340,1994-06-01,155070
341,1994-05-01,140366
342,1994-04-01,137847
343,1994-03-01,149256
344,1994-02-01,139057
345,1994-01-01,131392
346,1993-12-01,138273
347,1993-11-01,131460
348,1993-10-01,135483
349,1993-09-01,134114
350,1993-08-01,124150
351,1993-07-01,107698
352,1993-06-01,138459
353,1993-05-01,123210
354,1993-04-01,126589
355,1993-03-01,138668
356,1993-02-01,130164
357,1993-01-01,115794
358,1992-12-01,131937
359,1992-11-01,121759
360,1992-10-01,131334
361,1992-09-01,126277
362,1992-08-01,113623
363,1992-07-01,103025
364,1992-06-01,131268
365,1992-05-01,122274
366,1992-04-01,123268
367,1992-03-01,129309
368,1992-02-01,118429
